tab	authenticity
1	Disputed
1A	Admitted
1B	Admitted
2	Admitted
3	Admitted
4	Admitted
5	Disputed
6	Disputed
7	Admitted
8	Admitted
8A	Admitted
8B	Admitted
8C	Admitted
9	Admitted
9A	Admitted
9B	Admitted
10	Admitted
11	Admitted
12	Admitted
13	Admitted
14	Admitted
15	Admitted
16	Admitted
17	Disputed
18	Disputed
19	Disputed
20	Disputed
21	Disputed
22	Disputed
23	Disputed
24	Disputed
25	Admitted
26	Admitted
27	Admitted
28	Admitted
29	Admitted
30	Disputed
30A	Disputed
31	Disputed
