path	pages	chars	status
AUDIT_CORRECTIONS_FOR_ONEDRIVE_SET.md	0	6583	OK
CLAUDE.md	0	14084	OK
CURRENT.md	0	9363	OK
FULL-PICTURE.md	0	19879	OK
MASTER.md	0	39251	OK
README.md	0	7213	OK
analysis/MONTECARLO_RESULTS.txt	0	2026	OK
analysis/README.md	0	5334	OK
analysis/montecarlo_strategy.py	0	7713	OK
corpus/FULL_CORPUS.md	0	138725	OK
corpus/MESSAGE_INDEX.tsv	0	25438	OK
corpus/README.md	0	2681	OK
documents/2024-01-14_DFV_text_disclosure/2024-01-14_Taylor_to_Reese_covering_email.txt	0	1922	OK
documents/2024-01-14_DFV_text_disclosure/2025-07-10_Taylor_to_Matheson_covering_email.txt	0	1873	OK
documents/2024-05-13_ESU_PID_Complaint_Form_E5_Att1.pdf	2	2578	OK
documents/2024-10-09_Cory_reply_DRAFT_to_abandonment_letter_Firoz_Johns.pdf	3	0	NO_TEXT_LAYER
documents/2024-11-26_Saines_Cost_Agreement.pdf	27	89571	OK
documents/2025-07-22_Regulator_SOFC_served_via_Saines.pdf	6	15375	OK
documents/2025-07_Regulator_SOFC_Form9C_original.pdf	6	15375	OK
documents/2025-hughes-history/2025-04-08_Roberts_reinstatement_process_security_office.pdf	3	2955	OK
documents/2025-hughes-history/2025-10-04_Cory_COMPLAINT_about_Hughes_to_Roberts_cc_Moran.pdf	5	5905	OK
documents/2025-hughes-history/AttA_DV_Aggrieved_Confidential_Address_Form.pdf	1	0	NO_TEXT_LAYER
documents/2025-hughes-history/AttB_2025-03-12_DFV_leave_request_chain_Hughes.pdf	3	4375	OK
documents/2025-hughes-history/AttC_2025-03-28_Hughes_response_perpetrator_recreational-leave.pdf	2	5612	OK
documents/2025-hughes-history/AttD_2025-02-25_MagistratesCourt_Form44_WITHDRAWN_TPO_VACATED.pdf	3	1452	OK
documents/2025-hughes-history/AttE_2025-08-27_meeting_cancelled_Hughes_unwell.pdf	3	4764	OK
documents/2025-hughes-history/AttF_2025-09-08_Hughes_attendance_letter_34_occasions.pdf	32	0	NO_TEXT_LAYER
documents/2026-02-18_Form24_Response_and_email_communication.pdf	13	21262	OK
documents/2026-05-28_QSuper_Resolutions_complaint_response_Beck.pdf	2	5451	OK
documents/2026-06-05_MSH_Objection_KLM26-729_Cridland.pdf	5	14475	OK
documents/2026-07-01_Cory_Calderbank2_covering_email_SERVICE_PROOF.pdf	1	981	OK
documents/2026-07-02_Taylor_ECC_LeaveType_ORIGIN_DOCUMENT.pdf	2	2528	OK
documents/2026-07-07_Forrest_ECC_further_information_FULL.pdf	6	9960	OK
documents/2026-07-07_MSH_HR_Forrest_ECC_further_information.pdf	6	9960	OK
documents/2026-07-14_QSuper_IP_RTW_Correspondence_Bundle.pdf	30	61753	OK
documents/2026-07-15_Harrison_reply_pay_refused_discretion.pdf	8	10924	OK
documents/2026-07-15_Together_Heath-Moran_thread_urgent-industrial-referral.pdf	5	5497	OK
documents/2026-07-16_Matheson_Calderbank2_rejection.pdf	3	2897	OK
documents/2026-07-17_Heath_still-reviewing_industrial-team.pdf	10	14388	OK
documents/2026-07-24_Cory_to_Matheson_disclosure_list_request.pdf	1	630	OK
documents/2026-07-28_Cory_to_HR_incorrect-application-EB12-Award-policies_SENT.pdf	6	10568	OK
documents/2026-07-29_Harrison_reply_EAF_WHS-basis.pdf	9	15363	OK
documents/2026-07-30_Harrison_holding_reply_RFMI_delegate_approval.pdf	21	33744	OK
documents/2026-07-31_Harrison_RFMI_covering_email_1143.pdf	3	3229	OK
documents/2026-07-31_RFMI_Attachment1_ECC_3July_asServed.pdf	5	0	NO_TEXT_LAYER
documents/2026-07-31_RFMI_Attachment2_AO3_Switchboard_Role_Description.pdf	4	9995	OK
documents/2026-07-31_RFMI_Authorisation_Form_OPTION2_NOT_SIGNED.pdf	1	5026	OK
documents/2026-07-31_ScottHughes_RFMI_letter_to_EMPLOYEE.pdf	2	4319	OK
documents/2026-07-31_ScottHughes_RFMI_letter_to_GP_DrMa_9questions.pdf	5	7107	OK
documents/B4_EXHIBIT_Form9C_Statement_of_Reasons.pdf	7	16271	OK
documents/Item_11_AVAC_PRN_15480560_History.pdf	1	0	NO_TEXT_LAYER
documents/Item_11_myHR_report_Leave_submissions_Feb-May_2024.pdf	1	4195	OK
documents/METADATA_REGISTER.md	0	23583	OK
documents/Outlook_Document99.pdf	4	4992	OK
documents/Prizeman_v_QComp_2005_QIC_53.pdf	10	24194	OK
documents/Review_Decision_69983_24.10.2024.pdf	28	69041	OK
documents/WC.2024.227_Regulator_SOFC_13.05.2026.pdf	7	15737	OK
documents/WC.2024.227_Shepherd_REG_disclosure_to_APP_11.06.2026.pdf	10	8929	OK
documents/WC2024227_Outline_of_Submissions.pdf	3	6084	OK
documents/correspondence-2026/2026-04-22_Cory_FORMAL_SERVICE_Form29_AffectedParty1_to_Matheson.pdf	1	762	OK
documents/correspondence-2026/2026-06-25_Postmaster_DELIVERY_RECEIPT_64G_served_Ruttan.pdf	1	466	OK
documents/correspondence-2026/2026-07-03_1518_Cory_to_Taylor_ECC_LeaveType_reply.pdf	4	4567	OK
documents/correspondence-2026/2026-07-13_1639_Cory_to_InjuryMgmt_ECC_further_information.pdf	12	18339	OK
documents/correspondence-2026/2026-07-15_1310_MSH_to_Cory_and_Zappia_QSuper_IP_claim_update.pdf	8	10924	OK
documents/correspondence-2026/2026-07-16_1554_Matheson_Calderbank2_REJECTION.pdf	3	2897	OK
documents/correspondence-2026/2026-07-16_1554_Matheson_Calderbank2_REJECTION_full_3pp.pdf	3	2897	OK
documents/correspondence-2026/2026-07-28_1739_Cory_to_HR_incorrect_application_EB12_Award_policies.pdf	6	10568	OK
documents/correspondence-2026/2026-07-29_1610_MSH_reply_to_28July_letter.pdf	9	15363	OK
documents/correspondence-2026/2026-07-30_1125_Cory_reply_to_MSH_29July.pdf	18	31378	OK
documents/correspondence-2026/2026-07-30_1433_MSH_holding_reply_delegate_approval.pdf	21	33744	OK
documents/correspondence-2026/2026-07-31_1046_Cory_WP_material-development_to_Matheson_SENT.pdf	3	3226	OK
documents/correspondence-2026/2026-07-31_1515_Harrison_reimbursement_practice-confirmation_gate.pdf	3	3259	OK
documents/correspondence-2026/2026-07_Cory_to_InjuryMgmt_ECC_further_information_FULL_THREAD_12pp.pdf	12	18339	OK
documents/correspondence-2026/2026-08-03_0717_Matheson_reply_disclosure_list_and_NNPD_commitment.pdf	2	2438	OK
documents/correspondence-2026/2026-08-04_0854_Altius_Glockling_reply_requesting_call.pdf	3	0	NO_TEXT_LAYER
documents/correspondence-2026/2026-08-04_1139_SENT_clinic_booking_request.pdf	1	1124	OK
documents/correspondence-2026/2026-08-04_1335_Taylor_Stage1_ack_24h_not_achieved_and_leave_request.pdf	4	5837	OK
documents/correspondence-2026/2026-08-05_0730_SENT_Stage1_reply_cover_email.pdf	5	6853	OK
documents/correspondence-2026/2026-08-05_0731_Petering_autoreply_OOO_until_6Aug.pdf	1	471	OK
documents/correspondence-2026/2026-08-05_0935_Altius_Glockling_Teams_Thu_11am_or_1pm.pdf	6	10016	OK
documents/correspondence-2026/2026-08-05_1145_MindMemory_clinic_invoice_call_to_Harrison.pdf	2	1628	OK
documents/correspondence-2026/2026-08-05_1612_QSuper_graduated_RTW_payment_25-31May.pdf	2	2011	OK
documents/correspondence-2026/2026-08-05_2053_PsychGroup_Hellwege_indicative_proposal_10-30k.pdf	4	5133	OK
documents/correspondence-2026/2026-08-05_PsychGroup_Consulting_Brochure.pdf	2	5716	OK
documents/correspondence-2026/2026-08-05_PsychGroup_Partner_Program.pdf	4	5014	OK
documents/correspondence-2026/2026-08-06_1447_Matheson_to_Registry_attendance_confirmation.pdf	2	2121	OK
documents/correspondence-2026/2026-08-06_1727_Cory_to_Registry_attendance_confirmation.pdf	1	952	OK
documents/correspondence-packs/01_CS_Logan_Switch_PACK_103pp_2020-2026.pdf	103	112382	OK
documents/correspondence-packs/02_Chloe_Taylor_PACK_462pp.pdf	462	432540	OK
documents/correspondence-packs/03_Scott_Hughes_PACK_376pp_196sections.pdf	376	380927	OK
documents/correspondence-packs/04_Human_Resources_PACK_21pp_2026-07-31.pdf	21	25631	OK
documents/correspondence-packs/05_Jacqui_Roberts_PACK_64pp.pdf	64	80071	OK
documents/correspondence-packs/10_Amy_Mo_WorkCover_EMAILS_PACK_84pp.pdf	84	90713	OK
documents/correspondence-packs/INDEX.md	0	25175	OK
documents/disclosure-2025-07/Disclosure_from_witnesses_part_FRMS_content.pdf	47	85317	OK
documents/disclosure-2025-07/Disclosure_witness_conferencing_QldHealth_Payroll.pdf	24	60627	OK
documents/disclosure-2025-07/Disclosure_witness_conferencing_Tammy_Reese.pdf	50	138369	OK
documents/disclosure-2026-06_MSH_production/CROSS_SOURCE_TIMELINE.md	0	5309	OK
documents/disclosure-2026-06_MSH_production/Item 11 AVAC PRN 15480560 History.pdf	1	0	NO_TEXT_LAYER
documents/disclosure-2026-06_MSH_production/Item 11 myHR report_Leave submissions_1 February 2024 to 31 May 2024.pdf	1	4195	OK
documents/disclosure-2026-06_MSH_production/Item 11_Leave form PRN 15480560 Evidence pandemic leave.pdf	1	0	NO_TEXT_LAYER
documents/disclosure-2026-06_MSH_production/Item 11_Leave form PRN 15480560 pandemic leave.pdf	2	0	NO_TEXT_LAYER
documents/disclosure-2026-06_MSH_production/Item 15 QH Leave Takings Report_Cory Shepherd_19 March 2024.pdf	1	1813	OK
documents/disclosure-2026-06_MSH_production/Item 16_AVAC PRN 15397775_Redacted.pdf	1	0	NO_TEXT_LAYER
documents/disclosure-2026-06_MSH_production/Item 16_AVAC PRN 15605601_Redacted.pdf	1	0	NO_TEXT_LAYER
documents/disclosure-2026-06_MSH_production/Item 6 Role description Switchboard manager as at 2021.pdf	6	20161	OK
documents/disclosure-2026-06_MSH_production/METADATA_FORENSIC_TIMELINE.md	0	7025	OK
documents/disclosure-2026-06_MSH_production/item 12 Pandemic leave switch_Redacted.pdf	1	0	NO_TEXT_LAYER
documents/disclosure-2026-06_MSH_production/item 13 Pandemic Directive 01 20.pdf	9	51398	OK
documents/disclosure-2026-06_MSH_production/item 13 delegation-hr-covid-directive-special-and-pandemic-leave-51222.pdf	1	0	NO_TEXT_LAYER
documents/disclosure-2026-06_MSH_production/item 13 directive-01-20-implementation-guide-v2.pdf	13	33252	OK
documents/evidence/2026-07-03_Invoice574370_DrMa_ECC_150.pdf	1	1524	OK
documents/evidence/Chloe_Work_text_messages_incl_2023-04-04_roster_board.pdf	3	0	NO_TEXT_LAYER
documents/filings/2025-08_Form35_Withdrawal_of_Saines_Legal_Paul_Conrad.pdf	2	4033	OK
documents/filings/2026-02-25_Supplementary_Affidavit_Form20.pdf	13	0	NO_TEXT_LAYER
documents/filings/2026-02-25_Supplementary_Form4.pdf	12	0	NO_TEXT_LAYER
documents/filings/2026-02-26_Supplementary_Affidavit_stamped.pdf	17	24	THIN
documents/filings/2026-02-27_Affidavit_for_Form4_Disclosure_stamped.pdf	17	0	NO_TEXT_LAYER
documents/filings/2026-02-27_Form4_Application_Disclosure_stamped.pdf	12	0	NO_TEXT_LAYER
documents/filings/2026-04-08_Amended_Form9A_SOFC_Appellant.pdf	5	12246	OK
documents/filings/2026-04-22_Form29_Notice_NonParty_Disclosure_sealed.pdf	15	0	NO_TEXT_LAYER
documents/guides/QIRC_Public_Sector_Appeal_Guide.pdf	38	76016	OK
documents/guides/QIRC_Workers_Compensation_Appeal_Guide.pdf	50	109274	OK
documents/instruments/ATT01_EB11_Public_Health_Sector_CA_2022.pdf	71	280073	OK
documents/instruments/ATT02_EB12_CA_No12_2025.pdf	84	318431	OK
documents/instruments/ATT03_HHS_General_Employees_Award_2015.pdf	76	245106	OK
documents/instruments/ATT05_Psychosocial_Code_2022.pdf	67	249860	OK
documents/instruments/ATT09_QH-IMP-401-5_Workplace_Rehabilitation.pdf	28	805	THIN
documents/instruments/ATT09_VERIFIED_EXTRACTS.md	0	3806	OK
documents/instruments/ATT10_QH-POL-210_Reasonable_Adjustment.pdf	13	33550	OK
documents/instruments/ATT12_Directive_12-24_Special_Leave.pdf	12	35431	OK
documents/instruments/ATT13_QH-POL-231_Special_Leave_C7.pdf	16	47911	OK
documents/instruments/ATT14_AO3_Switchboard_Role_Description.pdf	4	9995	OK
documents/instruments/ATT15_QPS_Code_of_Conduct.pdf	18	29549	OK
documents/instruments/ATT16_Anti-Discrimination_Act_1991_Qld.pdf	163	355309	OK
documents/instruments/ATT17_WHS_Act_2011_Qld.pdf	308	682926	OK
documents/instruments/ATT18_IME_Guideline_Qld_public_sector.pdf	18	55539	OK
documents/instruments/ATT19_Public_Sector_Act_2022_current_1Jul2026.pdf	223	494427	OK
documents/instruments/ATT20_Anti-Discrimination_Act_1991_current_19May2025.pdf	163	355309	OK
documents/instruments/ATT21_Information_Privacy_Act_2009_current.pdf	124	270645	OK
documents/instruments/ATT22_Industrial_Relations_Act_2016_Qld.pdf	816	1802619	OK
documents/instruments/ATT23_Public_Interest_Disclosure_Act_2010_Qld.pdf	58	120536	OK
documents/instruments/ATT24_WHS_Regulation_2011_Qld.pdf	815	1812560	OK
documents/instruments/ATT25_DFVP_Act_2012_current_2026-01-01.pdf	299	687061	OK
documents/instruments/ATT26_WCRA_2003_current_2025-01-01.pdf	601	1331958	OK
documents/instruments/ATT27_IR_Tribunals_Rules_2011_current_23Aug2024.pdf	151	326446	OK
documents/instruments/DFVP2012_VERIFIED_EXTRACTS.md	0	5223	OK
documents/medical/2025-02-13_MindAndMemory_report_QSuper_LouiseIngs.pdf	4	19399	OK
documents/medical/2025-07-22_OurMedicalAshmore_GP_records_via_Saines.PDF	14	0	NO_TEXT_LAYER
documents/medical/Employee_Capability_Checklist_CShepherd_03-07-2026.pdf	5	0	NO_TEXT_LAYER
documents/orders/2025-06-03_Amended_Further_Directions_Order.pdf	2	0	NO_TEXT_LAYER
documents/orders/2025-07-16_Amended_Further_Directions_Order_2.pdf	1	0	NO_TEXT_LAYER
documents/orders/2025-08-22_Directions_Order_vacating_AFDO2.pdf	1	0	NO_TEXT_LAYER
documents/orders/2026-04-07_Further_Directions_Order.pdf	1	0	NO_TEXT_LAYER
documents/provenance/_MANIFEST.csv	0	62877	OK
documents/provenance/_MANIFEST_FILTERED.csv	0	69588	OK
documents/provenance/_export_log.txt	0	17349	OK
documents/related-matters/TD2024-110_Form12_Application_for_reinstatement_stamped_25.10.2024.pdf	34	0	NO_TEXT_LAYER
documents/sent-2026-08-03/2026-08-03_1138_SENT_Email1_RFMI_Response_to_IM_cc_HR_Moran.pdf	4	4835	OK
documents/sent-2026-08-03/2026-08-03_1138_SENT_Email1_export_with_attachment_list.pdf	2	0	NO_TEXT_LAYER
documents/sent-2026-08-03/2026-08-03_1138_SENT_Email2_Request_cl10.3_to_IM_and_HR_cc_Moran.pdf	1	925	OK
documents/sent-2026-08-03/2026-08-03_1138_SENT_Email3_Dispute_cl1.11_to_Taylor_IM_HR_cc_Moran.pdf	1	973	OK
documents/sent-2026-08-03/2026-08-03_1138_SENT_Email4_CE_to_Cridland_cc_Corro.pdf	2	1349	OK
